CUSTOMER_ID,COLLECTIONS_NUM
22336401,2
22157844,3
22617607,1
21810003,13
21970227,3
22639373,1
21886457,3
21621066,2
22286486,13
21811389,4
21709232,20
22734777,1
23479556,1
21529516,1
21809595,9
21799550,3
22768010,2
21371494,2
21345945,4
21322668,13
22199038,2
23398436,5
21167981,6
22569128,5
22647906,2
21995035,4
22709991,4
22783537,1
21339302,2
22010468,7
21782061,3
21969119,4
21669818,3
22723327,1
22380515,2
21781999,2
21723051,3
21171265,3
21354326,7
22411388,1
22144632,5
22067755,4
22121370,3
21492017,1
23375661,1
22302006,11
21261071,2
21781012,2
21125577,3
22633891,5
22382268,5
21167452,13
21443945,3
21255780,17
22749497,1
21187741,8
23509643,3
21365169,2
22458926,1
23482044,4
23293663,3
21988570,3
22421751,1
21294575,3
21658306,9
21282212,4
21399849,10
22158387,5
22022487,4
21778127,10
22257284,4
21495363,7
22318974,11
22105915,3
22394894,2
23622366,1
21189697,1
22413974,4
22022964,2
22608715,2
21421501,3
21658831,1
22184508,1
21389984,1
21509789,2
21684014,11
22076562,6
22237757,2
22090149,12
22208874,2
21581801,1
21571498,6
22367900,10
21596583,8
21805794,4
21646937,26
21342646,6
22279163,10
21700284,6
22261096,2
21337689,11
21786636,10
21202786,7
21454278,10
22418941,3
22270910,4
22105303,4
21127807,6
23418943,1
22435344,7
21895606,4
22937124,1
21338389,11
22833463,2
22355504,6
21419199,13
21255444,2
21286531,2
21313421,13
21339922,16
22339499,4
22862568,1
21743019,2
22310494,13
21848656,8
21389797,12
21717317,10
22263444,3
21929383,6
22382936,4
22543778,6
22522537,1
22713909,1
21107540,2
22627117,1
21895972,6
21782456,3
21817517,15
21697043,16
21903532,2
22111535,3
21276955,25
22359758,1
21191868,10
22334408,2
21294534,18
21764413,4
23491418,1
22052009,3
23445870,2
22947841,1
21310445,2
21582314,8
21788814,3
21957455,4
23513437,2
21689935,1
21420740,4
22539114,2
22197714,2
22031628,2
21609167,3
23117201,2
22463755,12
21422038,1
21572672,16
22538170,2
22735181,3
22188495,10
21954408,1
22068940,6
22285301,1
22825559,2
21620341,5
21219439,13
22046849,1
21560393,15
22226585,16
22246535,7
21717432,13
22192108,1
22706868,2
22151055,8
21815841,1
21694300,1
22699332,2
21613870,7
21535524,4
21592617,1
21895922,4
21932541,2
22163726,8
21218762,6
21185709,2
21619621,11
22000968,5
23369770,1
21513658,2
21606469,6
21777522,6
22112201,14
23334993,4
21494268,1
21360995,9
21185940,1
22566164,7
23014603,1
21224211,9
22132427,2
21134310,1
23582683,3
23329319,2
22345546,3
22316625,14
22310698,5
22458991,2
22483290,2
22259404,4
21811096,8
23452362,5
21145345,13
21782704,1
23124999,1
22814655,5
22814301,2
22815082,3
21230995,1
21520992,4
22359419,3
21289381,6
23440621,4
22033320,16
21698463,12
21067952,2
21284192,3
22014739,3
23613322,5
23756008,1
23118711,3
