"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,790226782,"4246840",740,"C",1149,29-MAR-16,12.06,30-MAR-17,"FRONTERA","MC"
1,790227523,"4246797",970,"C",790,03-MAR-16,12.87,30-MAR-17,"MONCLOVA","MC"
1,790226784,"4246854",470,"C",3439,02-MAR-16,4.89,30-JUL-16,"MONCLOVA","MC"
1,790227103,"4246921",620,"C",3439,14-MAR-16,5.48,29-AGO-16,"MONCLOVA","MC"
1,790227429,"4246998",620,"C",459,05-MAR-16,4.79,30-JUL-16,"MONCLOVA","MC"
1,790228377,"4246984",665,"C",3439,05-MAR-16,4.8,30-JUL-16,"MONCLOVA","MC"
1,790227430,"4247006",650,"C",3439,07-MAR-16,11.65,27-FEB-17,"MONCLOVA","MC"
1,790227840,"4246803",256,"C",3439,16-MAR-16,11.35,27-FEB-17,"MONCLOVA","MC"
1,790227431,"4247009",470,"C",3439,15-MAR-16,5.45,29-AGO-16,"MONCLOVA","MC"
1,790227432,"4247014",470,"C",3439,12-MAR-16,9.6,30-DIC-16,"MONCLOVA","MC"
1,790227522,"4246791",620,"D",1499,02-MAR-16,4.89,30-JUL-16,"MONCLOVA","MC"
1,790227733,"4246848",888.13,"D",1813,03-MAR-16,14.85,29-MAY-17,"MONCLOVA","MC"
1,791397351,"4247209",699,"D",240,04-MAR-16,5.83,29-AGO-16,"MONCLOVA","MC"
1,791397673,"4247135",665,"C",818,03-MAR-16,6.83,29-SEP-16,"MONCLOVA","MC"
1,791397681,"4247350",620,"C",1149,15-MAR-16,5.48,29-AGO-16,"FRONTERA","MC"
1,796077157,"4248076",632.67,"D",1499,14-MAR-16,10.51,30-ENE-17,"MONCLOVA","MC"
1,791397901,"4247365",470,"D",296,04-MAR-16,8.8,28-NOV-16,"MONCLOVA","MC"
1,792564624,"4247760",319,"C",767,07-MAR-16,8.68,28-NOV-16,"MONCLOVA","MC"
1,792564303,"4247732",620,"C",568,07-MAR-16,5.71,29-AGO-16,"MONCLOVA","MC"
1,796076966,"4248394",707.1,"C",3439,09-MAR-16,5.65,29-AGO-16,"MONCLOVA","MC"
1,796077181,"4248418",620,"C",3439,10-MAR-16,5.64,29-AGO-16,"MONCLOVA","MC"
1,796077610,"4248444",620,"C",3439,11-MAR-16,5.57,29-AGO-16,"MONCLOVA","MC"
1,796076967,"4248396",620,"C",381,08-MAR-16,9.73,30-DIC-16,"MONCLOVA","MC"
1,796077070,"4248295",650,"C",1149,07-MAR-16,14.71,29-MAY-17,"FRONTERA","MC"
1,796077158,"4248079",620,"C",3439,09-MAR-16,7.67,30-OCT-16,"MONCLOVA","MC"
1,796077159,"4248081",470,"C",3439,09-MAR-16,9.67,30-DIC-16,"MONCLOVA","MC"
1,796077180,"4248416",301,"C",3439,10-MAR-16,11.58,27-FEB-17,"MONCLOVA","MC"
1,796077920,"4248362",650,"B",909,12-MAR-16,11.49,27-FEB-17,"MONCLOVA","MC"
1,796077263,"4248120",380,"D",240,07-MAR-16,5.7,29-AGO-16,"MONCLOVA","MC"
1,796077267,"4248130",470,"C",3439,15-MAR-16,5.45,29-AGO-16,"MONCLOVA","MC"
1,796078126,"4248146",470,"C",3439,18-MAR-16,5.35,29-AGO-16,"MONCLOVA","MC"
1,796077272,"4248200",470,"C",3439,07-MAR-16,6.71,29-SEP-16,"MONCLOVA","MC"
1,796077291,"4248423",470,"C",3439,09-MAR-16,8.62,28-NOV-16,"MONCLOVA","MC"
1,796077714,"4248460",249,"C",1149,11-MAR-16,5.57,29-AGO-16,"FRONTERA","MC"
1,796078130,"4248252",650,"C",3439,09-MAR-16,12.68,30-MAR-17,"MONCLOVA","MC"
1,797254837,"4248581",470,"C",4892,08-MAR-16,8.65,28-NOV-16,"MONCLOVA","MC"
1,797254845,"4248809",665,"C",3439,09-MAR-16,5.67,29-AGO-16,"MONCLOVA","MC"
1,797254944,"4248585",740,"D",240,09-MAR-16,11.59,27-FEB-17,"MONCLOVA","MC"
1,797254953,"4248709",1805,"C",3439,08-MAR-16,6.67,29-SEP-16,"MONCLOVA","MC"
1,797255048,"4248608",470,"C",3273,28-MAR-16,5.03,29-AGO-16,"MONCLOVA","MC"
1,797255169,"4248824",470,"C",790,17-MAR-16,5.38,29-AGO-16,"MONCLOVA","MC"
1,797255689,"4248651",620,"D",1153,14-MAR-16,7.5,30-OCT-16,"MONCLOVA","MC"
1,799610724,"4249474",470,"C",3439,04-ABR-16,7.78,28-NOV-16,"MONCLOVA","MC"
1,799611057,"4249594",665,"C",1149,16-MAR-16,8.39,28-NOV-16,"FRONTERA","MC"
1,800795423,"4249954",620,"D",179,12-MAR-16,8.52,28-NOV-16,"MONCLOVA","MC"
1,800795531,"4249942",470,"C",1149,15-MAR-16,8.45,28-NOV-16,"FRONTERA","MC"
1,796078359,"4248370",334.52,"D",1499,10-MAR-16,8.61,28-NOV-16,"MONCLOVA","MC"
