"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,804310075,"4250451",620,"D",1499,15-MAR-16,6.45,29-SEP-16,"MONCLOVA","MC"
1,804310087,"4250561",620,"D",2085,31-MAR-16,5.93,29-SEP-16,"FRONTERA","MC"
1,804309977,"4250549",1210,"D",2085,15-MAR-16,9.47,30-DIC-16,"FRONTERA","MC"
1,804310409,"4250583",470,"C",1149,18-MAR-16,8.35,28-NOV-16,"FRONTERA","MC"
1,805490852,"4250933",665,"D",1153,16-MAR-16,7.44,30-OCT-16,"MONCLOVA","MC"
1,805490941,"4250767",620,"D",1813,16-MAR-16,7.47,30-OCT-16,"MONCLOVA","MC"
1,805491359,"4250969",1005,"C",1149,17-MAR-16,5.41,29-AGO-16,"FRONTERA","MC"
1,805491439,"4250726",665,"C",1149,16-MAR-16,8.39,28-NOV-16,"FRONTERA","MC"
1,805491846,"4250741",740,"C",1149,18-MAR-16,12.41,30-MAR-17,"FRONTERA","MC"
1,806662093,"4251007",249,"D",2085,18-MAR-16,5.35,29-AGO-16,"FRONTERA","MC"
1,807836908,"4251634",1265,"C",85,31-MAR-16,4.93,29-AGO-16,"MONCLOVA","MC"
1,807843161,"4251466",620,"C",1149,30-MAR-16,4.96,29-AGO-16,"FRONTERA","MC"
1,805491445,"4250790",650,"C",1149,22-MAR-16,15.22,29-JUN-17,"FRONTERA","MC"
1,805491447,"4250887",650,"C",1149,16-MAR-16,11.36,27-FEB-17,"FRONTERA","MC"
1,805491559,"4250900",843,"C",1149,16-MAR-16,12.47,30-MAR-17,"FRONTERA","MC"
1,805491753,"4250824",294,"D",2085,15-MAR-16,5.44,29-AGO-16,"FRONTERA","MC"
1,805491760,"4250916",789,"C",1149,16-MAR-16,5.44,29-AGO-16,"FRONTERA","MC"
1,805491761,"4250923",470,"C",1149,18-MAR-16,10.39,30-ENE-17,"FRONTERA","MC"
1,806661243,"4251283",249,"D",1499,23-MAR-16,6.19,29-SEP-16,"MONCLOVA","MC"
1,806662432,"4251244",294,"D",1499,13-ABR-16,5.51,29-SEP-16,"MONCLOVA","MC"
1,807842189,"4251550",147.42,"C",1149,23-MAR-16,6.18,29-SEP-16,"FRONTERA","MC"
