CUSTOMER_ID,CUST_SINCE_DATE,LEGACY_CUSTOMER_ID
21123541,01-04-16,9413336
21127507,02-04-16,
21778761,05-08-16,9026240
22690848,31-01-17,
23574237,03-08-17,
21899624,25-08-16,
21841146,16-08-16,9120248
22614236,13-01-17,
21520331,21-06-16,9026022
21880522,23-08-16,
21975075,08-09-16,
21212120,19-04-16,
22146296,10-10-16,
21822938,13-08-16,
21339170,16-05-16,9084619
22515398,21-12-16,
22414537,29-11-16,
23317051,12-06-17,9318537
22016830,15-09-16,
21681453,19-07-16,
21373038,23-05-16,9551966
22086909,29-09-16,
21388720,26-05-16,
21259840,29-04-16,9782258
21742492,30-07-16,
21699811,22-07-16,
21811927,11-08-16,
21495912,15-06-16,9462148
22380556,23-11-16,9081030
22233401,26-10-16,
22518278,21-12-16,
22209911,21-10-16,9036653
21989492,10-09-16,
22532911,26-12-16,
22745203,13-02-17,
22754154,14-02-17,
22146343,10-10-16,
21758025,02-08-16,
22914724,21-03-17,9589185
22913063,21-03-17,9044603
21659200,15-07-16,
22912038,21-03-17,
22915087,21-03-17,
21461384,09-06-16,
21362983,20-05-16,
22381774,23-11-16,
22298514,08-11-16,9084547
21733899,28-07-16,
22033572,19-09-16,
22562184,02-01-17,
22228864,25-10-16,
22161514,12-10-16,9822452
22772979,18-02-17,
22881373,14-03-17,
22918911,22-03-17,9044378
22882031,14-03-17,
21961340,06-09-16,
22888040,15-03-17,9081068
21564045,28-06-16,
21233252,23-04-16,
22096061,30-09-16,9059571
22394893,25-11-16,9134822
22408966,29-11-16,9059209
21866181,20-08-16,
22248669,28-10-16,
21922867,30-08-16,9027805
22409212,29-11-16,
22897963,17-03-17,9138179
21487257,14-06-16,
22718439,07-02-17,
23260161,31-05-17,4247396
22604581,11-01-17,
23268958,01-06-17,
22015347,15-09-16,
21937881,01-09-16,
21132728,04-04-16,
23486193,17-07-17,
22074476,27-09-16,9560243
22471801,12-12-16,
22251239,29-10-16,
21919967,29-08-16,
23264152,01-06-17,
22037512,20-09-16,
21237018,25-04-16,
21885927,23-08-16,
21526073,22-06-16,
21673904,18-07-16,
22542824,28-12-16,
22048163,22-09-16,
22922734,23-03-17,
21672357,18-07-16,
22922277,23-03-17,9404597
21143356,05-04-16,
22276490,03-11-16,9348617
22193174,18-10-16,9034802
22135415,07-10-16,
21421553,01-06-16,
21058252,17-03-16,
21363583,20-05-16,
21586159,02-07-16,
22894913,16-03-17,
22891579,16-03-17,9235005
22891638,16-03-17,9715982
23309674,09-06-17,
22598609,10-01-17,
22264649,01-11-16,
21515810,20-06-16,9065204
21245557,26-04-16,
21874702,22-08-16,
21340748,16-05-16,
21441710,06-06-16,
22605120,11-01-17,9003503
22357500,19-11-16,
23297394,07-06-17,9029602
22815126,28-02-17,
22821021,01-03-17,
21762870,03-08-16,
22823881,01-03-17,
22824393,01-03-17,
21192792,15-04-16,9553098
21080792,22-03-16,
21640407,12-07-16,
22269960,02-11-16,9150820
21324943,13-05-16,
21616950,07-07-16,
21584569,01-07-16,
22311495,10-11-16,
22874706,13-03-17,
22890309,15-03-17,
22423255,01-12-16,9091881
23544179,28-07-17,
22645371,20-01-17,
21495351,15-06-16,9197852
22044123,21-09-16,
21726206,27-07-16,
22173826,14-10-16,
21365018,21-05-16,9162185
21742713,30-07-16,
