CUSTOMER_ID,DUE_DATE,DEBT_DAYS_NUM
21676515,,
22461636,,
23866734,28-11-17,31
22866051,01-12-17,28
23101326,22-11-17,37
21416016,,
22158546,27-09-17,93
23885363,,
21677788,09-12-17,20
21163071,02-12-17,27
23076464,,
22945605,31-10-17,59
21313906,02-12-17,27
23777527,,
22332161,05-05-17,238
21091278,,
22869436,12-12-17,17
23820717,,
24307855,,
24203116,,
24257202,31-12-17,-2
23463003,03-11-17,56
22016462,04-05-17,239
21340761,06-07-17,176
23968105,09-01-18,-11
21815090,04-12-17,25
21141575,26-05-17,217
22837256,28-10-17,62
23850632,,
24022853,03-12-17,26
21564504,,
23143627,27-10-17,63
23501404,08-12-17,21
23962505,08-12-17,21
22400253,,
22701116,,
23188688,08-12-17,21
23404503,,
23037326,06-12-17,23
22952464,,
22563335,25-05-17,218
21102749,,
21241109,,
21526377,10-12-17,19
22655485,12-12-17,17
21792431,01-08-17,150
21265971,,
21730803,,
21051353,05-03-17,299
21670601,06-09-17,114
23708769,10-12-17,19
22353735,06-12-17,23
21295714,13-03-17,291
23186812,06-12-17,23
22151082,06-10-17,84
22810012,,
22745561,08-12-17,21
23013055,,
22537782,,
23512653,10-12-17,19
23082845,16-06-17,196
23404419,,
22962982,,
24061136,,
22571841,,
22260936,,
23522822,,
24177267,,
24235304,,
23402835,26-10-17,64
23489716,06-12-17,23
21525595,10-12-17,19
21579057,20-02-17,312
22150986,01-12-17,28
21549290,,
21829248,07-12-17,22
22632428,06-06-17,206
22444927,29-05-17,214
23397918,05-12-17,24
23887765,08-01-18,-10
24119541,09-01-18,-11
21789344,30-11-17,29
21419711,,
24037228,26-12-17,3
24118485,12-01-18,-14
21934232,,
24253982,,
22907700,,
22512079,,
22916468,,
22728572,,
24241650,,
24222457,,
24214740,,
21399755,20-10-17,70
22176627,05-12-17,24
21594769,,
21197044,07-01-18,-9
21317281,01-12-17,28
23071181,,
22227939,15-08-17,136
21377336,12-12-17,17
22080232,22-10-16,433
23458140,01-01-18,-3
24260816,01-01-18,-3
23267797,,
22331917,04-01-18,-6
22509035,,
22485348,07-01-17,356
22447308,02-12-17,27
21337469,04-12-17,25
23888708,25-11-17,34
22061373,,
21850461,06-12-17,23
