CUSTOMER_ID,KEYWORDS_NUM
21848656,1
21389797,19
21929383,3
22382936,7
22543778,3
22263444,1
23296367,2
22441008,3
22354852,2
22713909,5
21412906,12
21107540,4
22835413,2
22833450,3
22438360,2
21697043,20
21903532,1
22111535,1
21276955,1
22359758,1
21895972,4
21294534,5
21764413,3
21191868,7
22120887,4
22052009,2
21310445,14
23445870,1
21582314,7
23032345,1
21595342,4
23524932,5
21485298,11
21788814,3
21689935,5
21957455,1
23005732,3
21420740,3
23465678,3
23431285,1
22539114,1
22197714,3
21923087,3
23117201,4
21418039,2
22031628,4
21609167,3
21352234,1
22788313,6
21422038,2
22735181,1
22538170,4
21572672,2
21954408,11
22188495,10
22068940,7
22285301,2
22825559,3
22649591,2
21620341,2
21428481,15
22046849,1
21219439,1
22192108,2
21847642,5
22706868,2
21815841,1
22151055,2
21717432,2
22699332,3
21535524,5
22551904,4
22422934,3
21592617,21
22031181,11
22163726,3
21185709,10
21218762,3
23369770,4
22000968,1
21619621,1
21513658,8
21606469,2
21838626,2
21777522,2
21798806,5
22997298,2
23246774,9
22112201,8
21494268,2
21216108,2
21360995,2
21873765,1
23312035,3
21185940,2
21224211,4
22566164,2
23582683,1
21134310,6
23329319,3
22316625,1
22950912,1
22458991,3
22310698,4
22483290,1
21505987,2
21811096,1
22259404,1
21782704,10
21145345,3
23124999,1
22814655,1
22814301,3
22815082,3
21230995,2
21520992,1
21289381,11
22352968,10
23406619,3
23330712,3
21698463,2
22303874,3
22618561,3
22033320,3
21163349,3
23820213,2
23819302,6
21284192,6
23756008,1
21702970,4
23118711,8
21291923,2
21276926,5
22241449,1
21157524,6
21461033,1
22264110,1
23366815,2
21536875,3
21457795,3
23856044,2
21342735,5
22213957,9
23860295,4
22862207,3
23351569,1
22465565,3
21967760,2
23600333,1
21648657,2
23254050,4
22544922,21
21621009,3
21360282,4
22080397,1
21653559,1
22295014,1
22885077,14
21432037,7
22105906,1
22780040,1
22845740,3
23311026,7
21514066,1
23095137,4
23299736,1
21739713,2
22292487,1
22346535,1
22033027,6
22555332,3
22831703,3
21690585,1
23077075,2
22582981,6
22570897,6
21989697,8
22060898,5
23539697,1
21640582,1
22069521,5
23540400,15
22058003,1
22525469,5
23247852,8
21226456,23
22927796,6
23374558,3
21174331,1
22653402,5
21782204,1
21821272,3
21399041,2
22560455,7
21612723,4
21922744,8
21396613,2
21514241,1
22120053,1
22912089,7
22949387,2
23788493,2
22979675,1
22337016,3
21236487,10
22335041,14
21805831,3
21348458,2
21086029,2
23301395,1
22091094,2
21233773,1
23750933,2
21495436,8
22617670,1
22264922,5
22226485,4
22057228,5
21442299,2
23597713,1
23343400,1
23610696,3
22623890,2
22229526,18
22606892,1
23514379,3
23386391,2
24156959,1
21581650,3
21395745,3
23351410,3
22008552,4
21266724,3
23337044,4
22483518,2
21325709,7
22157241,2
21461250,14
23584637,5
22671563,5
21638832,1
22125453,7
23368292,6
22425495,9
21189746,3
21615639,1
22235201,2
22700355,1
23915286,3
21149949,2
21336823,2
22050106,1
22749571,3
22901183,4
23319193,2
23231839,2
23474860,1
23593241,1
22719300,5
21112012,2
21670668,5
23271808,1
22151207,4
21723144,5
21444773,3
23150823,6
22077285,1
22503257,7
21425169,6
22419321,3
21831283,1
21557876,3
21328832,5
22397255,3
21929593,11
22057305,2
22282946,1
21262910,11
22086701,6
21875759,1
23626509,2
22235833,2
23763736,2
21844956,12
23556033,1
21090835,1
21902252,1
22406372,8
24050795,1
23089916,1
22483159,1
22554761,2
22928790,1
23591790,4
22495330,2
21425497,14
23269382,1
22548965,8
22699434,3
22223471,8
21319604,10
23119890,1
21860194,4
22861736,7
21209284,9
21542429,2
23077827,2
23679528,10
22410344,2
23219857,4
21148502,30
22010493,5
22331708,1
22276985,1
23994836,1
23206413,5
23165938,1
21443082,7
21272736,2
23909362,2
21925043,2
22604146,2
21116593,2
21855199,6
23205635,4
23565007,2
22533682,1
22515669,1
21328032,33
21936692,25
21492030,5
23574590,1
21844864,4
22471247,2
23241800,3
23302892,5
22197765,3
23176969,10
22940847,6
22317001,4
23797567,7
21106012,6
22478755,1
22144748,3
21609570,4
22138113,1
22589069,2
21609649,5
22553904,3
23340568,1
21345217,2
23188548,3
22947308,2
24006531,3
21552980,1
22108089,2
21581587,34
23936688,1
21752776,10
22675489,6
23006136,2
22629044,5
21619767,7
22093449,1
22958089,1
23330025,2
22403044,5
21892267,3
22328103,4
21872704,1
23115868,4
23406811,4
21731800,10
21969549,3
23978407,1
21359514,2
22941901,2
23667280,3
23678439,1
21209701,7
21598842,4
23976305,1
21461259,5
22706508,5
21853165,8
21971243,1
22520961,2
22560226,2
23882002,1
23988255,1
23894329,1
22955487,4
21278053,1
22028602,1
23582001,2
22510541,3
21694472,3
22556623,2
23458306,4
21571507,1
23042868,3
23567299,1
22274311,1
23738940,4
23686795,1
23941050,1
23501179,1
21615933,19
21802615,10
22960399,4
23099425,1
24161094,4
23194713,7
21251895,10
23726984,1
21383784,9
23321205,5
23558361,1
23112423,1
23130358,1
23129180,1
23574430,2
22595414,1
23130373,1
21924543,15
23281972,1
22118202,1
23480122,2
23413023,2
23233473,4
23752464,3
21731300,1
23948365,1
21903173,3
21445547,6
23888220,1
24180679,1
24039406,9
24118594,1
23704338,1
23759487,6
23709820,1
21865692,1
24189166,1
23138816,6
22999305,2
22999148,2
22259086,6
23821999,1
22992374,2
22392037,4
21802478,1
21442264,2
23233840,1
22861138,3
23719683,4
22783094,2
23501431,3
24150960,3
23326616,4
24116392,1
22438247,7
22439578,5
23178236,1
22570864,3
22444328,10
23656124,3
22036273,5
24025871,2
23014773,1
21847542,1
21186758,1
21148235,1
23336306,2
21383641,6
23794190,1
23892830,1
23992699,1
23857730,13
23073244,2
21277981,1
23042278,8
23982520,2
21634338,4
23205102,5
23642613,3
23859928,1
21431239,14
21448499,2
23229023,5
23722027,1
23120012,4
24060522,1
23455327,5
23243242,5
23662947,2
