CUSTOMER_ID,BUSINESS_CASE_NUM
21250616,79
21452145,5
21288293,1
21298969,3
21322889,17
21697999,4
22528014,3
22336401,7
22526372,5
22157844,8
21792090,7
22617607,40
21810003,7
21970227,4
22639373,6
21506945,8
23585299,8
21621066,9
22125858,18
23745728,9
23479556,3
21815417,14
22286486,6
21709232,7
21811389,6
22734777,7
22826916,5
21886457,31
21529516,4
21799550,33
21809595,1
22768010,3
21371494,3
21345945,6
22199038,40
21322668,4
23398436,8
21167981,14
22647906,15
22569128,3
21995035,2
23341663,13
21750249,4
22709991,3
21339302,13
22010468,9
22783537,10
21782061,4
22285197,3
23573270,6
21969119,19
22199080,17
21669818,5
21460470,14
22723327,5
21171265,4
22380515,5
22093596,2
22685534,5
21441268,1
22789663,7
21781999,3
21160848,7
21723051,3
22375074,2
21354326,4
22411388,27
22067755,2
22144632,5
22571685,11
22642669,4
21492017,8
23412621,9
23375661,6
22121370,4
22183382,6
21467649,2
21270147,2
22255088,33
21252013,13
21125577,6
21261071,4
21954740,3
22302006,4
21781012,5
22633891,4
21676206,3
22484056,1
22382268,5
21521748,3
21167452,7
21457545,10
21443945,7
22749497,4
21255780,5
23324429,9
21563658,4
23351386,20
21365169,18
21187741,3
23509643,6
22062173,14
22458926,5
23592518,8
22869629,9
23482044,7
23293663,8
21988570,1
21798900,6
22568890,2
21294575,6
23236483,7
21658306,7
21282212,2
21399849,7
22158387,4
21755947,4
22421751,9
23392039,8
22322067,3
21778127,11
22257284,5
21495363,3
23541159,3
22318974,6
22022487,2
22394894,11
22105915,3
21961332,3
21189697,8
22005741,11
21681374,4
23504382,12
22734769,10
22612088,4
23622366,18
22413974,19
23292497,7
21348699,3
22022964,2
21947836,8
21481588,3
22608715,17
23287692,4
22782986,7
21421501,4
21658831,4
22090149,17
22184508,8
21389984,9
21509789,5
21684014,7
22076562,7
22237757,2
22208874,15
21581801,7
21571498,19
22844075,4
21596583,1
23072577,13
21805794,14
21646937,2
22394264,17
22367900,4
22279163,4
21817405,5
23424500,17
21342646,13
22612250,8
21700284,5
22844518,16
21786636,19
22261096,3
21337689,4
21202786,5
22550148,10
21454278,6
22105303,6
22418941,8
22270910,15
21127807,18
23418943,5
22435344,13
21895606,6
22446998,13
22937124,7
21338389,23
21419199,3
22833463,10
22355504,3
21286531,39
21255444,2
21313421,2
21339922,9
22095732,11
22339499,9
22862568,19
21371529,1
21743019,16
23486070,9
21717317,6
22310494,12
21848656,3
21389797,17
23598272,4
22382936,15
21929383,4
22522537,5
22543778,7
22263444,7
23296367,7
22441008,7
22713909,19
21412906,6
22354852,9
22094606,1
21107540,6
22627117,2
23579180,4
21782456,1
22833450,12
22835413,5
21817517,2
22438360,3
21697043,26
22683946,3
21903532,2
22111535,4
21276955,8
22359758,5
21895972,4
21294534,18
21764413,7
23491418,7
21191868,8
22334408,5
22120887,11
22052009,2
23445870,17
21310445,25
22947841,6
21582314,10
23032345,5
21595342,4
22388979,1
23524932,13
21485298,21
21788814,11
23005732,15
21689935,12
21957455,2
23513437,4
21420740,5
23465678,14
23431285,20
22539114,1
22197714,10
21923087,9
23117201,6
22031628,5
21418039,4
21609167,8
22579497,2
21352234,3
22463755,7
21422038,6
21356442,4
22788313,9
22735181,10
22538170,10
21572672,8
22188495,8
21954408,9
22068940,36
22825559,12
22285301,4
22649591,10
21620341,12
21428481,12
23332814,4
21219439,8
22046849,3
21560393,1
22226585,1
22246535,2
22192108,7
21847642,9
22706868,6
23455623,4
21815841,3
22151055,4
21694300,3
21717432,4
23454598,6
22699332,9
21613870,3
21535524,9
22551904,8
22422934,8
21592617,29
21932541,2
22163726,4
22031181,21
21895922,3
21185709,19
21218762,10
23369770,19
21619621,7
22000968,5
21513658,14
22300909,4
21606469,5
21838626,10
21777522,5
